sede,cedula,nombre,lastname,course,nota,estado,puntos obtenidos,puntos totales
COTO,14-581-9082,Silvain,Wiggin,Bernardelli,4,FAILED,16,50
PZ,14-581-9082,Silvain,Wiggin,Hacaud,7,APPROVED,1,50
HEREDIA,14-581-9082,Silvain,Wiggin,Daymont,9,APPROVED,47,50
LIMON,14-581-9082,Silvain,Wiggin,Arington,4,FAILED,21,50
COTO,14-581-9082,Silvain,Wiggin,Fealey,8,APPROVED,28,50
PZ,14-581-9082,Silvain,Wiggin,Portress,8,APPROVED,7,50
HEREDIA,14-581-9082,Silvain,Wiggin,Fairpool,5,FAILED,42,50
LIMON,14-581-9082,Silvain,Wiggin,Seadon,4,FAILED,13,50
COTO,14-581-9082,Silvain,Wiggin,Dingley,7,APPROVED,44,50
PZ,11-870-9220,Brigg,Cajkler,Bernardelli,9,APPROVED,8,50
HEREDIA,11-870-9220,Brigg,Cajkler,Hacaud,10,APPROVED,20,50
LIMON,11-870-9220,Brigg,Cajkler,Daymont,9,APPROVED,26,50
COTO,11-870-9220,Brigg,Cajkler,Arington,8,APPROVED,20,50
PZ,11-870-9220,Brigg,Cajkler,Fealey,3,FAILED,49,50
HEREDIA,11-870-9220,Brigg,Cajkler,Portress,6,FAILED,27,50
LIMON,11-870-9220,Brigg,Cajkler,Fairpool,9,APPROVED,11,50
COTO,11-870-9220,Brigg,Cajkler,Seadon,9,APPROVED,18,50
PZ,11-870-9220,Brigg,Cajkler,Dingley,9,APPROVED,28,50
HEREDIA,11-870-9220,Brigg,Cajkler,Dewing,8,APPROVED,41,50
LIMON,11-870-9220,Brigg,Cajkler,Orys,4,FAILED,29,50
COTO,11-870-9220,Brigg,Cajkler,Emanulsson,5,FAILED,19,50
PZ,11-870-9220,Brigg,Cajkler,Laxton,6,FAILED,22,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Bernardelli,3,FAILED,38,50
LIMON,71-728-0013,Mirabella,Huniwall,Hacaud,6,FAILED,10,50
COTO,71-728-0013,Mirabella,Huniwall,Daymont,8,APPROVED,47,50
PZ,71-728-0013,Mirabella,Huniwall,Arington,9,APPROVED,42,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Fealey,4,FAILED,31,50
LIMON,71-728-0013,Mirabella,Huniwall,Portress,5,FAILED,36,50
COTO,71-728-0013,Mirabella,Huniwall,Fairpool,7,FAILED,42,50
PZ,71-728-0013,Mirabella,Huniwall,Seadon,4,FAILED,0,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Dingley,10,APPROVED,41,50
LIMON,71-728-0013,Mirabella,Huniwall,Frogley,10,APPROVED,29,50
COTO,71-728-0013,Mirabella,Huniwall,Djuricic,8,APPROVED,10,50
PZ,71-728-0013,Mirabella,Huniwall,Wolfenden,5,FAILED,35,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Darragon,8,APPROVED,25,50
LIMON,71-728-0013,Mirabella,Huniwall,Lushey,10,APPROVED,26,50
COTO,71-728-0013,Mirabella,Huniwall,Tuny,9,APPROVED,31,50
PZ,71-728-0013,Mirabella,Huniwall,Allden,8,APPROVED,41,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Sigfrid,9,APPROVED,24,50
LIMON,71-728-0013,Mirabella,Huniwall,FitzGeorge,6,FAILED,36,50
COTO,71-728-0013,Mirabella,Huniwall,Treharne,4,FAILED,27,50
PZ,71-728-0013,Mirabella,Huniwall,Winsiowiecki,6,FAILED,21,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Klasing,6,FAILED,19,50
LIMON,71-728-0013,Mirabella,Huniwall,Kyle,4,FAILED,23,50
COTO,71-728-0013,Mirabella,Huniwall,Savege,8,APPROVED,42,50
PZ,71-728-0013,Mirabella,Huniwall,Juhruke,9,APPROVED,32,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Sandells,8,APPROVED,2,50
