sede,cedula,nombre,lastname,course,nota,estado,puntos obtenidos,puntos totales

PZ,94-118-2937,Matthus,Shambrooke,Llorente,4,FAILED,7,50
HEREDIA,94-118-2937,Matthus,Shambrooke,Dabbes,6,FAILED,16,50
LIMON,94-118-2937,Matthus,Shambrooke,Kingsley,6,FAILED,10,50
COTO,94-118-2937,Matthus,Shambrooke,Rossbrooke,7,APPROVED,22,50
PZ,94-118-2937,Matthus,Shambrooke,Jumeau,8,APPROVED,13,50
HEREDIA,94-118-2937,Matthus,Shambrooke,Riall,7,APPROVED,4,50
LIMON,91-345-9131,Leona,Loeber,Bernardelli,6,FAILED,11,50
COTO,91-345-9131,Leona,Loeber,Hacaud,5,FAILED,11,50
PZ,91-345-9131,Leona,Loeber,Daymont,7,APPROVED,5,50
HEREDIA,91-345-9131,Leona,Loeber,Arington,7,APPROVED,41,50
LIMON,91-345-9131,Leona,Loeber,Fealey,9,APPROVED,37,50
COTO,91-345-9131,Leona,Loeber,Portress,8,APPROVED,23,50
PZ,91-345-9131,Leona,Loeber,Fairpool,8,APPROVED,2,50
HEREDIA,91-345-9131,Leona,Loeber,Seadon,5,FAILED,15,50
LIMON,91-345-9131,Leona,Loeber,Dingley,6,FAILED,3,50
COTO,91-345-9131,Leona,Loeber,Kleis,7,APPROVED,39,50
PZ,91-345-9131,Leona,Loeber,Clemmensen,5,FAILED,2,50
HEREDIA,91-345-9131,Leona,Loeber,Llorente,9,APPROVED,41,50
LIMON,91-345-9131,Leona,Loeber,Dabbes,4,FAILED,16,50
COTO,91-345-9131,Leona,Loeber,Churchin,7,APPROVED,18,50
PZ,91-345-9131,Leona,Loeber,Fellgatt,5,FAILED,18,50
HEREDIA,91-345-9131,Leona,Loeber,Jandak,3,FAILED,18,50
LIMON,18-280-8542,Aurelia,Braune,Bernardelli,4,FAILED,20,50
COTO,18-280-8542,Aurelia,Braune,Hacaud,7,APPROVED,5,50
PZ,18-280-8542,Aurelia,Braune,Daymont,7,FAILED,17,50
HEREDIA,18-280-8542,Aurelia,Braune,Arington,5,FAILED,31,50
LIMON,18-280-8542,Aurelia,Braune,Fealey,7,FAILED,6,50
COTO,18-280-8542,Aurelia,Braune,Portress,4,FAILED,29,50
PZ,18-280-8542,Aurelia,Braune,Fairpool,3,FAILED,50,50
HEREDIA,18-280-8542,Aurelia,Braune,Seadon,5,FAILED,32,50
LIMON,18-280-8542,Aurelia,Braune,Dingley,7,FAILED,15,50
COTO,18-280-8542,Aurelia,Braune,Kleis,9,APPROVED,32,50
PZ,18-280-8542,Aurelia,Braune,Clemmensen,9,APPROVED,44,50
