sede,cedula,nombre,lastname,course,nota,estado,puntos obtenidos,puntos totales
COTO,24-108-4825,Link,Hammant,Dingley,3,FAILED,2,50
PZ,24-108-4825,Link,Hammant,Dash,5,FAILED,26,50
HEREDIA,24-108-4825,Link,Hammant,Cordell,4,FAILED,34,50
LIMON,24-108-4825,Link,Hammant,Rapinett,4,FAILED,16,50
COTO,24-108-4825,Link,Hammant,Goalley,8,APPROVED,4,50
PZ,24-108-4825,Link,Hammant,Milkins,8,APPROVED,33,50
HEREDIA,24-108-4825,Link,Hammant,Toping,10,APPROVED,18,50
LIMON,24-108-4825,Link,Hammant,Hourigan,10,APPROVED,8,50
COTO,24-108-4825,Link,Hammant,Cosgreave,3,FAILED,27,50
PZ,24-108-4825,Link,Hammant,Doerrling,7,APPROVED,37,50
HEREDIA,24-108-4825,Link,Hammant,Arnke,5,FAILED,35,50
LIMON,24-108-4825,Link,Speere,Bernardelli,6,FAILED,13,50
COTO,24-108-4825,Link,Speere,Hacaud,9,APPROVED,35,50
PZ,24-108-4825,Link,Speere,Daymont,9,APPROVED,8,50
HEREDIA,24-108-4825,Link,Speere,Arington,9,APPROVED,22,50
LIMON,24-108-4825,Link,Speere,Fealey,3,FAILED,15,50
COTO,24-108-4825,Link,Speere,Portress,4,FAILED,27,50
PZ,24-108-4825,Link,Speere,Fairpool,5,FAILED,43,50
HEREDIA,24-108-4825,Link,Speere,Seadon,8,APPROVED,40,50
LIMON,24-108-4825,Link,Speere,Dingley,5,FAILED,31,50
COTO,24-108-4825,Link,Speere,Legate,5,FAILED,25,50
PZ,24-108-4825,Link,Speere,Voss,3,FAILED,44,50
HEREDIA,24-108-4825,Link,Speere,Bowser,8,APPROVED,34,50
LIMON,24-108-4825,Link,Speere,Russo,3,FAILED,38,50
COTO,24-108-4825,Link,Speere,Spreadbury,3,FAILED,32,50
PZ,24-108-4825,Link,Speere,Knyvett,3,FAILED,14,50
HEREDIA,24-108-4825,Link,Speere,Brewer,6,FAILED,50,50
LIMON,24-108-4825,Link,Speere,Brenston,5,FAILED,2,50
COTO,24-108-4825,Link,Speere,Speere,5,FAILED,46,50
PZ,24-108-4825,Link,Speere,Swann,7,APPROVED,23,50
HEREDIA,24-108-4825,Link,Speere,Hambatch,3,FAILED,48,50
LIMON,24-108-4825,Link,Speere,Ruslinge,4,FAILED,32,50
COTO,24-108-4825,Link,Speere,Ambrosi,3,FAILED,24,50
PZ,24-108-4825,Link,Speere,Balasini,4,FAILED,17,50
HEREDIA,45-544-6148,Dorella,Betje,Bernardelli,5,FAILED,7,50
LIMON,45-544-6148,Dorella,Betje,Hacaud,7,APPROVED,4,50
COTO,45-544-6148,Dorella,Betje,Daymont,4,FAILED,22,50
PZ,45-544-6148,Dorella,Betje,Arington,3,FAILED,12,50
HEREDIA,45-544-6148,Dorella,Betje,Fealey,3,FAILED,24,50
LIMON,45-544-6148,Dorella,Betje,Portress,4,FAILED,11,50
COTO,45-544-6148,Dorella,Betje,Fairpool,9,APPROVED,48,50
PZ,45-544-6148,Dorella,Betje,Seadon,7,APPROVED,15,50
HEREDIA,45-544-6148,Dorella,Betje,Dingley,8,APPROVED,44,50
LIMON,45-544-6148,Dorella,Betje,Boow,5,FAILED,10,50
COTO,45-544-6148,Dorella,Betje,Huggons,9,APPROVED,10,50
PZ,45-544-6148,Dorella,Betje,Roddick,9,APPROVED,32,50
HEREDIA,45-544-6148,Dorella,Betje,Remirez,7,FAILED,23,50
