sede,cedula,nombre,lastname,course,nota,estado,puntos obtenidos,puntos totales
LIMON,71-728-0013,Mirabella,Huniwall,O'Currine,4,FAILED,22,50
COTO,71-728-0013,Mirabella,Huniwall,Lithcow,4,FAILED,25,50
PZ,71-728-0013,Mirabella,Huniwall,Bumford,5,FAILED,14,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Aartsen,10,APPROVED,13,50
LIMON,71-728-0013,Mirabella,Huniwall,Aubin,6,FAILED,1,50
COTO,71-728-0013,Mirabella,Huniwall,Gethouse,7,APPROVED,7,50
PZ,71-728-0013,Mirabella,Huniwall,Lejeune,8,APPROVED,12,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Messier,3,FAILED,11,50
LIMON,71-728-0013,Mirabella,Huniwall,McKeney,6,FAILED,20,50
COTO,71-728-0013,Mirabella,Huniwall,Ferrolli,7,APPROVED,15,50
PZ,71-728-0013,Mirabella,Huniwall,Gossan,5,FAILED,41,50
HEREDIA,71-728-0013,Mirabella,Huniwall,Gresswell,4,FAILED,43,50
LIMON,60-173-1454,Lucienne,Phizaclea,Bernardelli,7,APPROVED,48,50
COTO,60-173-1454,Lucienne,Phizaclea,Hacaud,4,FAILED,13,50
PZ,60-173-1454,Lucienne,Phizaclea,Daymont,5,FAILED,47,50
HEREDIA,60-173-1454,Lucienne,Phizaclea,Arington,4,FAILED,36,50
LIMON,60-173-1454,Lucienne,Phizaclea,Fealey,3,FAILED,21,50
COTO,60-173-1454,Lucienne,Phizaclea,Portress,6,FAILED,40,50
PZ,60-173-1454,Lucienne,Phizaclea,Fairpool,8,APPROVED,24,50
HEREDIA,60-173-1454,Lucienne,Phizaclea,Seadon,9,APPROVED,13,50
LIMON,60-173-1454,Lucienne,Phizaclea,Dingley,10,APPROVED,6,50
COTO,60-173-1454,Lucienne,Phizaclea,Pattington,5,FAILED,21,50
PZ,60-173-1454,Lucienne,Phizaclea,Coffelt,3,FAILED,39,50
HEREDIA,60-173-1454,Lucienne,Phizaclea,Fishpool,10,APPROVED,36,50
LIMON,60-173-1454,Lucienne,Phizaclea,Gagen,4,FAILED,12,50
COTO,47-699-2745,Tobiah,Boodell,Bernardelli,8,APPROVED,11,50
PZ,47-699-2745,Tobiah,Boodell,Hacaud,6,FAILED,8,50
HEREDIA,47-699-2745,Tobiah,Boodell,Daymont,8,APPROVED,44,50
LIMON,47-699-2745,Tobiah,Boodell,Arington,10,APPROVED,46,50
COTO,47-699-2745,Tobiah,Boodell,Fealey,8,APPROVED,23,50
PZ,47-699-2745,Tobiah,Boodell,Portress,3,FAILED,22,50
HEREDIA,47-699-2745,Tobiah,Boodell,Fairpool,3,FAILED,6,50
LIMON,47-699-2745,Tobiah,Boodell,Seadon,3,FAILED,7,50
COTO,47-699-2745,Tobiah,Boodell,Dingley,8,APPROVED,26,50
PZ,47-699-2745,Tobiah,Boodell,Puden,8,APPROVED,30,50
HEREDIA,47-699-2745,Tobiah,Boodell,Quadling,4,FAILED,30,50
LIMON,47-699-2745,Tobiah,Boodell,Kinmond,3,FAILED,20,50
COTO,47-699-2745,Tobiah,Boodell,Loggie,6,FAILED,43,50
PZ,47-699-2745,Tobiah,Boodell,Grimsey,4,FAILED,24,50
HEREDIA,47-699-2745,Tobiah,Boodell,Hillatt,9,APPROVED,30,50
LIMON,47-699-2745,Tobiah,Boodell,Bellany,7,APPROVED,16,50
COTO,47-699-2745,Tobiah,Boodell,Duthie,6,FAILED,6,50
PZ,56-116-6620,Tomaso,Moylan,Bernardelli,5,FAILED,0,50
HEREDIA,56-116-6620,Tomaso,Moylan,Hacaud,5,FAILED,20,50
LIMON,56-116-6620,Tomaso,Moylan,Daymont,9,APPROVED,3,50
COTO,56-116-6620,Tomaso,Moylan,Arington,6,FAILED,50,50
PZ,56-116-6620,Tomaso,Moylan,Fealey,9,APPROVED,3,50
HEREDIA,56-116-6620,Tomaso,Moylan,Portress,8,APPROVED,23,50
LIMON,56-116-6620,Tomaso,Moylan,Fairpool,6,FAILED,20,50
COTO,56-116-6620,Tomaso,Moylan,Seadon,8,APPROVED,21,50
PZ,56-116-6620,Tomaso,Moylan,Dingley,8,APPROVED,39,50
HEREDIA,56-116-6620,Tomaso,Moylan,Kernocke,9,APPROVED,39,50
LIMON,56-116-6620,Tomaso,Moylan,Sketchley,7,APPROVED,0,50
COTO,56-116-6620,Tomaso,Moylan,Smoote,8,APPROVED,49,50
PZ,56-116-6620,Tomaso,Moylan,Gentzsch,3,FAILED,42,50
HEREDIA,56-116-6620,Tomaso,Moylan,Vardon,6,FAILED,48,50
LIMON,56-116-6620,Tomaso,Moylan,Naisby,7,FAILED,16,50
COTO,56-116-6620,Tomaso,Moylan,Fay,7,APPROVED,10,50
PZ,56-116-6620,Tomaso,Moylan,Skakunas,6,FAILED,8,50
HEREDIA,56-116-6620,Tomaso,Moylan,Frascone,5,FAILED,15,50
LIMON,56-116-6620,Tomaso,Moylan,Petera,8,APPROVED,33,50
COTO,24-108-4825,Link,Hammant,Bernardelli,10,APPROVED,48,50
PZ,24-108-4825,Link,Hammant,Hacaud,3,FAILED,13,50
HEREDIA,24-108-4825,Link,Hammant,Daymont,8,APPROVED,43,50
LIMON,24-108-4825,Link,Hammant,Arington,8,APPROVED,10,50
COTO,24-108-4825,Link,Hammant,Fealey,5,FAILED,38,50
PZ,24-108-4825,Link,Hammant,Portress,8,APPROVED,17,50
HEREDIA,24-108-4825,Link,Hammant,Fairpool,4,FAILED,4,50
LIMON,24-108-4825,Link,Hammant,Seadon,9,APPROVED,2,50
